InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
770487,P2824,Purpose Brother,2,2023-09-01,74.41,10031,Spain
246316,P2679,Site Face,44,2024-02-19,74.33,10069,Germany
719176,P7912,Dog Chair,3,2025-03-07,3.95,10027,Spain
629903,P1434,Blue Require,36,2025-03-10,20.68,10083,Norway
539898,P4611,Wait Offer,29,2023-10-19,59.34,10000,France
832052,P7924,Performance Knowledge,22,2023-09-06,28.51,10027,Netherlands
207175,P2519,All Better,25,2024-01-29,10.57,10044,Denmark
377370,P1711,Early Mouth,47,2024-11-22,46.48,10015,Belgium
182627,P5803,Agreement Option,41,2024-01-14,62.23,10046,Denmark
301629,P2139,Sense Rate,3,2025-02-07,66.47,10098,Italy
183667,P4814,Offer Kind,7,2024-01-31,38.63,10058,Netherlands
270555,P7065,List Perform,23,2024-03-16,21.74,10034,Germany
738720,P3803,Table True,35,2023-08-18,73.18,10020,Sweden
497887,P5422,Song Sure,41,2023-12-15,69.13,10028,Netherlands
983794,P1916,Save Knowledge,15,2024-05-03,82.36,10040,Belgium
380746,P2084,Fall Clearly,14,2024-01-27,91.4,10072,Netherlands
322955,P9179,Source Great,26,2023-10-31,88.58,10082,Sweden
249811,P5339,Best Husband,9,2023-10-27,25.42,10071,Norway
375504,P8019,Her Throw,38,2024-05-06,40.54,10028,France
634277,P9085,Pm Everything,6,2025-04-30,75.82,10014,France
757924,P3621,Animal Show,44,2024-08-03,42.79,10008,Belgium
500156,P8668,Not Capital,34,2025-07-29,25.89,10070,UK
813328,P2876,Human Bar,44,2024-10-14,88.59,10096,Italy
905934,P6573,Finally Themselves,8,2024-12-13,30.06,10020,Sweden
103402,P5315,Present Value,33,2025-06-12,76.43,10064,Germany
755674,P5889,High Participant,41,2024-01-09,51.26,10025,France
492077,P3646,Sea Available,35,2023-09-17,95.4,10067,UK
728038,P6310,Recently Drive,32,2025-04-04,2.93,10046,Italy
351083,P1949,Figure Base,16,2025-06-07,87.92,10010,Germany
867460,P8962,Early Trial,5,2023-10-30,97.82,10068,France
234628,P8787,Husband Fall,36,2024-07-30,17.35,10067,Denmark
543692,P4470,Prove They,35,2024-05-22,75.77,10088,Spain
847581,P6107,Commercial Hospital,26,2024-05-14,99.52,10083,Netherlands
559381,P9479,Determine Religious,29,2024-03-07,12.98,10028,Germany
454508,P1344,Science Write,38,2025-01-24,55.84,10075,Spain
107540,P2163,Raise Away,46,2024-11-28,63.48,10029,Germany
132938,P6413,Prove Congress,5,2024-09-30,51.9,10035,Sweden
324643,P9834,Shoulder Election,9,2023-12-17,72.61,10073,Denmark
595631,P4981,Maintain Hundred,31,2024-03-09,80.94,10024,Germany
201639,P8062,Wish Push,23,2025-01-28,42.93,10059,UK
806073,P2612,Onto Discuss,4,2025-01-25,40.86,10043,Germany
360735,P4139,Garden Threat,13,2025-03-31,54.09,10017,Belgium
292401,P5563,Stand Arrive,30,2024-02-06,25.73,10009,Sweden
947272,P2604,Term Almost,4,2025-04-29,65.56,10069,UK
197793,P4872,Four Institution,11,2024-03-07,41.23,10061,Spain
520521,P1960,Attorney Development,11,2025-07-22,38.52,10049,Italy
922157,P8454,Yes Our,19,2025-06-23,42.88,10093,Norway
794022,P8973,Serious Forward,10,2024-01-25,19.8,10027,UK
707314,P9883,Reality Money,4,2024-06-15,75.05,10007,UK
712554,P8811,Usually Who,33,2024-12-24,92.02,10067,France
159642,P9320,Low Character,6,2024-03-05,85.28,10008,Denmark
171262,P4853,Chair Employee,26,2025-03-13,12.87,10072,Spain
707040,P1651,Option Nothing,40,2024-03-04,9.12,10084,Denmark
692683,P9565,Skin Pattern,21,2024-07-10,93.54,10026,Netherlands
350280,P5351,Water Past,26,2024-06-18,13.96,10082,Italy
579434,P6180,High Discuss,49,2023-11-28,93.64,10001,Sweden
751332,P2638,Mr Minute,5,2023-10-22,54.23,10064,Italy
238890,P6718,Someone Anyone,5,2025-06-11,88.05,10047,Italy
265409,P8179,Break Claim,35,2024-12-12,70.65,10078,Norway
108203,P5905,Collection Structure,43,2025-01-22,11.26,10017,Italy
221035,P2753,Knowledge Pick,48,2023-10-01,55.77,10034,Italy
734210,P4450,Image I,46,2024-11-17,34.95,10087,Italy
629959,P9004,Management Newspaper,17,2024-02-24,90.63,10006,Germany
765095,P7939,On Traditional,18,2023-08-21,5.36,10042,France
768061,P5291,Response Set,11,2023-11-09,74.38,10070,Belgium
688153,P1158,Rest Value,8,2024-10-03,8.45,10088,France
672092,P1590,Social Example,24,2025-03-31,58.67,10018,Belgium
233636,P1685,Put Grow,20,2023-11-07,37.1,10005,Netherlands
320281,P5088,Finally Learn,43,2023-12-13,11.18,10099,Norway
526117,P3532,Long About,16,2025-02-23,86.6,10022,Belgium
125990,P3938,Type Serve,48,2024-03-04,92.52,10100,Belgium
941204,P5065,Month Sound,18,2023-12-29,16.76,10089,Germany
501124,P1634,Movement While,31,2023-11-03,23.02,10058,Netherlands
420015,P4728,Truth Process,15,2024-03-31,3.34,10024,Belgium
444207,P5564,Thought Purpose,5,2024-09-10,96.72,10035,Netherlands
772642,P9346,Politics Decide,26,2023-12-09,68.27,10068,Netherlands
128941,P2889,Hour Sound,17,2023-12-16,18.68,10033,UK
213668,P8119,Notice Start,23,2025-07-29,73.13,10040,Belgium
735656,P9379,Nice Why,8,2023-08-13,39.13,10073,Spain
367095,P1727,Place Game,46,2024-08-26,44.17,10066,Norway
820221,P4228,After Brother,24,2025-08-03,43.7,10085,Netherlands
753425,P6143,Him Unit,43,2025-05-19,84.95,10092,Italy
631756,P6067,Surface Food,43,2024-02-14,41.43,10051,Italy
681343,P3085,Article Effect,13,2025-06-24,42.62,10048,France
745414,P5930,Our Your,26,2023-10-13,55.25,10000,Italy
400850,P4443,Bed Sign,28,2024-08-24,78.79,10077,Netherlands
587575,P8238,Team Authority,29,2025-03-25,67.89,10065,Sweden
932291,P3780,No Space,43,2023-11-18,9.39,10065,Denmark
451470,P2530,Career Receive,49,2024-08-16,24.25,10039,Spain
945742,P4262,Your Often,10,2023-12-19,3.42,10031,Sweden
740967,P2193,Evidence News,30,2025-06-20,42.03,10080,Denmark
303880,P7291,Policy Land,32,2024-01-24,40.57,10018,UK
887443,P2746,Woman Notice,50,2025-03-21,43.09,10022,Norway
587115,P1822,Show Road,36,2024-01-16,25.67,10015,Sweden
239816,P8612,Sell Forget,43,2024-06-17,53.58,10071,Denmark
432711,P8251,Remain Rate,40,2024-05-29,81.69,10064,Belgium
970914,P9976,Left We,29,2024-09-18,89.82,10095,Sweden
571932,P5246,Live Camera,49,2024-02-21,25.48,10081,Italy
903013,P9540,Down Attack,32,2024-05-01,63.05,10035,Sweden
181247,P5681,Against Per,16,2024-10-16,27.9,10040,Norway
184491,P3267,Drug Per,10,2024-01-31,23.89,10088,France
840734,P4505,Account Avoid,5,2025-02-12,42.07,10042,Norway
588557,P7812,Program Artist,4,2024-02-06,21.48,10053,Belgium
907189,P1320,Author Western,49,2023-09-06,57.99,10061,UK
468845,P5892,Trade Give,49,2023-10-07,39.61,10053,Norway
883826,P9947,My Economy,39,2024-03-16,89.88,10062,Spain
386193,P8140,Relationship Mention,32,2024-01-26,3.87,10043,Belgium
859359,P3704,Notice Cause,30,2025-02-24,92.03,10079,Norway
128276,P7455,Worry Us,38,2024-10-29,56.87,10003,Germany
773971,P8022,Part Material,9,2024-02-17,86.82,10023,UK
372793,P7211,Still Material,21,2025-05-01,21.95,10041,Netherlands
898207,P7211,Investment Customer,18,2023-10-25,75.45,10053,Italy
975467,P2341,Bill Reason,31,2024-07-12,2.92,10069,UK
466960,P4673,Health Land,42,2024-06-27,7.79,10083,UK
890870,P1508,Manage Treat,16,2025-03-01,20.74,10002,Denmark
259784,P4908,Arm Report,9,2025-01-01,47.88,10014,Denmark
